country,state,city,station,last_update,latitude,longitude,longitude,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",17-03-2025 11:00:00,24.762518,84.982348,OZONE,10,36,14
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",17-03-2025 11:00:00,25.697189,85.2459,PM2.5,111,248,171
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",17-03-2025 11:00:00,25.697189,85.2459,NO2,19,35,26
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",17-03-2025 11:00:00,25.560083,87.553265,NH3,1,1,1
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",17-03-2025 11:00:00,25.560083,87.553265,SO2,15,24,19
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",17-03-2025 11:00:00,26.0881305,87.93840336,PM10,86,184,113
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",17-03-2025 11:00:00,26.0881305,87.93840336,NH3,11,13,12
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",17-03-2025 11:00:00,26.0881305,87.93840336,CO,13,13,13
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",17-03-2025 11:00:00,26.0881305,87.93840336,OZONE,19,22,19
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",17-03-2025 11:00:00,27.308328,84.531742,SO2,6,7,7
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",17-03-2025 11:00:00,26.63086,84.90051,PM2.5,25,317,165
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",17-03-2025 11:00:00,26.63086,84.90051,OZONE,12,17,12
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",17-03-2025 11:00:00,17.72,83.3,OZONE,2,305,4
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",17-03-2025 11:00:00,27.103358,93.679645,PM2.5,NA,NA,NA
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",17-03-2025 11:00:00,27.103358,93.679645,CO,6,6,6
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",17-03-2025 11:00:00,26.071318,91.87488,NO2,10,46,18
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",17-03-2025 11:00:00,26.071318,91.87488,NH3,4,4,4
India,Assam,Guwahati,"IITG, Guwahati - PCBA",17-03-2025 11:00:00,26.2028636,91.70046436,PM10,44,142,89
India,Assam,Guwahati,"IITG, Guwahati - PCBA",17-03-2025 11:00:00,26.2028636,91.70046436,SO2,18,22,19
India,Assam,Guwahati,"IITG, Guwahati - PCBA",17-03-2025 11:00:00,26.2028636,91.70046436,OZONE,1,52,8
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",17-03-2025 11:00:00,26.10887,91.589544,PM2.5,NA,NA,NA
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",17-03-2025 11:00:00,26.10887,91.589544,NH3,NA,NA,NA
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",17-03-2025 11:00:00,26.1875,91.744194,PM2.5,42,500,201
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",17-03-2025 11:00:00,26.1875,91.744194,PM10,31,435,121
